timestamp,rpm,speed_mph,coolant_temp_c,acceleration_g,latitude,longitude,driving_zone
08:14:33.405,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.468,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.528,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.618,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.663,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.724,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.784,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.844,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.932,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:33.967,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:34.024,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:34.083,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:34.142,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:34.233,0.0,0.0,23.0,0.0,39.99266816608311,-83.00487595073517,idle
08:14:34.262,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.268,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.323,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.383,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.444,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.532,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.567,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.627,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.699,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.759,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.849,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.895,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:34.954,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:35.014,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:35.058,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:35.148,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:35.194,0.0,0.0,23.0,0.0,39.99266826533831,-83.00487603580494,idle
08:14:35.258,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.264,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.326,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.393,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.493,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.528,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.599,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.658,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.722,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:35.824,0.0,0.0,23.0,0.0,39.9926683078805,-83.00487606416148,idle
08:14:36.266,0.0,0.0,23.0,0.0,39.99266832206575,-83.00487609251843,idle
08:14:37.252,0.0,0.0,23.0,0.0,39.99266832207228,-83.0048760925179,idle
08:14:38.258,0.0,0.0,23.0,0.0,39.99266871834597,-83.00487606142285,idle
08:14:39.256,0.0,0.0,23.0,0.0,39.99266871835139,-83.00487606142242,idle
